"Qty","Value","Device","Package","Parts","Description","CREATOR","DIST","DISTPN","PROD_ID",
"5","","M02PTH","1X02","JP1, JP4, JP5, JP6, JP7","Header 2","","","","",
"1","","SWITCH-SPDTPTH","SWITCH-SPDT","S1","SPDT Switch","","","","SWCH-08261",
"1",".01uF","C-USC0805","C0805","C14","CAPACITOR, American symbol","","","","",
"1",".22uF","C-USC0805","C0805","C16","CAPACITOR, American symbol","","","","",
"1","0.1uF","C-USC0805","C0805","C11","CAPACITOR, American symbol","","","","",
"1","0.75pF","C-USC0805","C0805","C8","CAPACITOR, American symbol","","","","",
"2","100","R-US_R0805","R0805","R9, R11","RESISTOR, American symbol","","","","",
"1","100nF","C-USC0805","C0805","C18","CAPACITOR, American symbol","","","","",
"7","10k","R-US_R0805","R0805","R1, R5, R6, R7, R8, R12, R13","RESISTOR, American symbol","","","","",
"1","10uF","C-USC0805","C0805","C17","CAPACITOR, American symbol","","","","",
"2","12pF","C-USC0805","C0805","C1, C2","CAPACITOR, American symbol","","","","",
"1","16MHz","CRYSTAL5X3","CRYSTAL-SMD-5X3","Y1","Various standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534","","","","",
"6","1uF","C-USC0805","C0805","C3, C4, C9, C10, C12, C13","CAPACITOR, American symbol","","","","",
"1","22pF","C-USC0805","C0805","C5","CAPACITOR, American symbol","","","","",
"2","270","R-US_R0805","R0805","R2, R3","RESISTOR, American symbol","","","","",
"2","30","R-US_R0805","R0805","R4, R10","RESISTOR, American symbol","","","","",
"1","4.7uF","C-USC0805","C0805","C15","CAPACITOR, American symbol","","","","",
"1","ANTENNA2SMD5","ANTENNA2SMD5","ANTENNA-CHIP5","U$1","Chip antenna","","","","",
"1","ATMEGA128RFA1","ATMEGA128RFA1","QFN-64","U1","ATmega128RFA1","","","","",
"1","AVR_SPI_PRG_6NS","AVR_SPI_PRG_6NS","2X3-NS","J1","AVR ISP 6 Pin","","","","",
"1","BALUN0805","BALUN0805","BALUN","B1","0805 footprint balun- Ember 351/357","","","","",
"4","BAS16WS","BAS16WS","SOD-323","D1, D2, D3, D4","","Trevor Smith","Digikey","BAS16WS-E3-08CT-ND","",
"1","FTDI_Debug","FTDI_BASICPTH","FTDI_BASIC","JP3","FTDI Basic header with labels","","","","",
"1","FTDI_Programmer","FTDI_BASICPTH","FTDI_BASIC","JP2","FTDI Basic header with labels","","","","",
"2","GREEN","LEDCHIP-LED0805","CHIP-LED0805","LED4, LED6","LED","","","","",
"1","LP3985IM5-3.0","LP3985IM5-3.0","SOT23-DBV","U$2","","","","","",
"1","LSM9DS0-LGA24","LSM9DS0-LGA24","LGA-24","U2","","Trevor Smith","Digikey","497-13902-1-ND","",
"1","ORANGE","LEDCHIP-LED0805","CHIP-LED0805","LED1","LED","","","","",
"2","RED","LEDCHIP-LED0805","CHIP-LED0805","LED5, LED7","LED","","","","",
"4","SI2302CDS","SI2302CDS","SOT-23","Q1, Q2, Q3, Q4","","Trevor Smith","Digikey","SI2302CDS-T1-E3","",
"1","YELLOW","LEDCHIP-LED0805","CHIP-LED0805","LED2","LED","","","","",
